Linux 5.4.0-77-generic (ubuntu-dev-01) 	08/15/2021 	_x86_64_	(1 CPU)

02:06:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:06:14 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:06:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:24 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:06:29 AM     all      0.81      0.00      0.81      0.00      0.00     98.37
02:06:34 AM     all      0.20      0.00      0.61      0.20      0.00     98.99
02:06:39 AM     all     12.68     51.31     10.87      0.20      0.00     24.95
02:06:44 AM     all     24.75      0.00      4.02      0.00      0.00     71.23
02:06:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:06:54 AM     all      0.00      0.00      0.81      0.00      0.00     99.19
02:06:59 AM     all      0.21      0.00      2.48      0.00      0.00     97.31
02:07:04 AM     all      0.21      0.00      5.44      0.00      0.00     94.35
02:07:09 AM     all      0.00      0.00      5.22      0.00      0.00     94.78
02:07:14 AM     all      0.20      0.00      1.21      0.00      0.00     98.59
02:07:19 AM     all      0.00      0.00      0.81      0.00      0.00     99.19
02:07:24 AM     all      1.41      0.00      0.40      0.00      0.00     98.18
02:07:30 AM     all      0.40      0.00      0.61      0.00      0.00     98.99
02:07:35 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:07:40 AM     all      0.00      0.00      0.81      0.00      0.00     99.19
02:07:45 AM     all      1.24      0.00      3.71      0.00      0.00     95.05
02:07:50 AM     all      0.42      0.00      3.95      0.00      0.00     95.63
02:07:55 AM     all      0.21      0.00      6.00      0.00      0.00     93.79
02:08:00 AM     all      1.06      0.00      7.22      0.21      0.00     91.51
02:08:05 AM     all      0.00      0.00      4.78      0.00      0.00     95.22
02:08:10 AM     all      0.83      0.00      4.15      0.00      0.00     95.02
02:08:15 AM     all      0.61      0.00      3.27      0.00      0.00     96.12
02:08:20 AM     all      2.22      0.00      0.81      0.00      0.00     96.98
02:08:25 AM     all      5.45      0.00      8.69      2.63      0.00     83.23
02:08:30 AM     all     37.30      0.00     51.61      6.25      0.00      4.84
02:08:35 AM     all     79.60      0.00     20.40      0.00      0.00      0.00
02:08:40 AM     all     79.20      0.00     20.80      0.00      0.00      0.00
02:08:45 AM     all     87.82      0.00     11.98      0.20      0.00      0.00
02:08:50 AM     all     85.60      0.00     14.40      0.00      0.00      0.00
02:08:55 AM     all     82.60      0.00     17.40      0.00      0.00      0.00
02:09:00 AM     all     89.80      0.00     10.20      0.00      0.00      0.00
02:09:05 AM     all     91.42      0.00      8.58      0.00      0.00      0.00
02:09:10 AM     all     90.80      0.00      9.20      0.00      0.00      0.00
02:09:15 AM     all     64.80      0.00     35.20      0.00      0.00      0.00
02:09:20 AM     all     44.58     27.91     27.51      0.00      0.00      0.00
02:09:25 AM     all     76.00      4.80     19.20      0.00      0.00      0.00
02:09:30 AM     all     51.60     32.40     16.00      0.00      0.00      0.00
02:09:35 AM     all     65.33     16.43     18.24      0.00      0.00      0.00
02:09:40 AM     all     73.45     11.58     14.97      0.00      0.00      0.00
02:09:45 AM     all     65.60      0.00     34.40      0.00      0.00      0.00
02:09:50 AM     all     52.89      0.00     47.11      0.00      0.00      0.00
02:09:55 AM     all     49.40      0.00     50.60      0.00      0.00      0.00
02:10:00 AM     all     49.20      0.00     50.80      0.00      0.00      0.00
02:10:05 AM     all     57.68      0.00     42.32      0.00      0.00      0.00
02:10:10 AM     all     67.80      0.00     32.20      0.00      0.00      0.00
02:10:15 AM     all     59.92      0.00     40.08      0.00      0.00      0.00
02:10:20 AM     all     56.40      0.00     43.60      0.00      0.00      0.00
02:10:25 AM     all     52.30      0.00     47.70      0.00      0.00      0.00
02:10:30 AM     all     70.60      0.00     29.40      0.00      0.00      0.00
02:10:35 AM     all     80.84      0.00     19.16      0.00      0.00      0.00
02:10:40 AM     all     82.24      0.00     17.76      0.00      0.00      0.00
02:10:45 AM     all     74.55      0.00     25.45      0.00      0.00      0.00
02:10:50 AM     all     58.48     30.74     10.78      0.00      0.00      0.00
02:10:55 AM     all     54.71     30.86     14.43      0.00      0.00      0.00
02:11:00 AM     all     70.00     14.80     15.20      0.00      0.00      0.00
02:11:05 AM     all     66.87     19.56     13.57      0.00      0.00      0.00
02:11:10 AM     all     62.32     25.45     12.22      0.00      0.00      0.00
02:11:15 AM     all     56.57      0.00     41.83      1.00      0.00      0.60
02:11:20 AM     all     45.49     27.05     26.05      0.60      0.00      0.80
02:11:25 AM     all     45.98      0.00     53.01      0.20      0.00      0.80
02:11:30 AM     all     34.27      0.00     65.73      0.00      0.00      0.00
02:11:35 AM     all     75.45      0.00     24.55      0.00      0.00      0.00
02:11:40 AM     all     51.90     27.25     19.64      0.20      0.00      1.00
02:11:45 AM     all     25.15     53.89     19.96      0.40      0.00      0.60
02:11:50 AM     all     34.87     43.09     20.24      1.00      0.00      0.80
02:11:55 AM     all     13.28     10.87      4.63      0.00      0.00     71.23
