Linux 5.4.0-77-generic (ubuntu-dev-01) 	08/15/2021 	_x86_64_	(1 CPU)

02:06:09 AM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:06:14 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:06:19 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:06:24 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:06:29 AM     ens33     26.60      1.20      9.13      0.22      0.00      0.00      0.00      0.01
02:06:34 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:06:39 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:06:44 AM     ens33      0.60      0.40      0.09      0.04      0.00      0.00      0.00      0.00
02:06:49 AM     ens33      0.60      0.20      0.05      0.01      0.00      0.00      0.00      0.00
02:06:54 AM     ens33    248.60     91.00    362.27      7.20      0.00      0.00      0.00      0.30
02:06:59 AM     ens33    929.80    208.60   1373.24     13.75      0.00      0.00      0.00      1.12
02:07:04 AM     ens33   1398.40    269.20   2065.82     17.47      0.00      0.00      0.00      1.69
02:07:09 AM     ens33   1515.97    283.83   2239.52     18.53      0.00      0.00      0.00      1.83
02:07:14 AM     ens33    183.60     37.40    270.25      2.49      0.00      0.00      0.00      0.22
02:07:19 AM     ens33     33.00      8.00     48.03      0.57      0.00      0.00      0.00      0.04
02:07:24 AM     ens33     38.40      8.00     49.37      0.60      0.00      0.00      0.00      0.04
02:07:30 AM     ens33     21.20      1.00      7.19      0.16      0.00      0.00      0.00      0.01
02:07:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:07:40 AM     ens33    277.05     50.70    408.53      3.27      0.00      0.00      0.00      0.33
02:07:45 AM     ens33   1081.80    202.00   1597.40     13.10      0.00      0.00      0.00      1.31
02:07:50 AM     ens33   1286.60    231.40   1900.55     15.17      0.00      0.00      0.00      1.56
02:07:55 AM     ens33   1657.00    290.80   2448.15     18.96      0.00      0.00      0.00      2.01
02:08:00 AM     ens33   1972.20    350.80   2915.58     22.73      0.00      0.00      0.00      2.39
02:08:05 AM     ens33   1336.40    243.00   1974.36     15.66      0.00      0.00      0.00      1.62
02:08:10 AM     ens33    994.20    178.20   1469.09     11.55      0.00      0.00      0.00      1.20
02:08:15 AM     ens33    653.69    114.77    964.66      7.43      0.00      0.00      0.00      0.79
02:08:20 AM     ens33      1.00      0.20      0.68      0.01      0.00      0.00      0.00      0.00
02:08:25 AM     ens33      8.20      0.40      2.40      0.07      0.00      0.00      0.00      0.00
02:08:30 AM     ens33     20.80      1.00      6.98      0.16      0.00      0.00      0.00      0.01
02:08:35 AM     ens33    533.20     97.00    785.33      6.25      0.00      0.00      0.00      0.64
02:08:40 AM     ens33      1.80      0.20      0.16      0.01      0.00      0.00      0.00      0.00
02:08:45 AM     ens33      1.60      0.00      0.15      0.00      0.00      0.00      0.00      0.00
02:08:50 AM     ens33    224.60     44.40    331.10      2.89      0.00      0.00      0.00      0.27
02:08:55 AM     ens33    962.40    165.60   1420.52     10.67      0.00      0.00      0.00      1.16
02:09:00 AM     ens33    172.60     31.60    252.64      2.04      0.00      0.00      0.00      0.21
02:09:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:09:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:09:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:09:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:09:25 AM     ens33      7.60      0.40      2.53      0.07      0.00      0.00      0.00      0.00
02:09:30 AM     ens33     19.60      1.00      6.65      0.16      0.00      0.00      0.00      0.01
02:09:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:09:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:09:45 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:09:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:09:55 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:10:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:10:05 AM     ens33      1.00      0.00      0.19      0.00      0.00      0.00      0.00      0.00
02:10:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:10:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:10:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:10:25 AM     ens33     10.00      0.40      3.62      0.07      0.00      0.00      0.00      0.00
02:10:30 AM     ens33     18.60      1.00      6.52      0.16      0.00      0.00      0.00      0.01
02:10:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:10:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:10:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:10:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:10:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:11:00 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:11:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:11:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:11:15 AM     ens33    109.20     24.40    154.55      2.22      0.00      0.00      0.00      0.13
02:11:20 AM     ens33      0.40      0.40      0.04      0.03      0.00      0.00      0.00      0.00
02:11:25 AM     ens33      6.00      0.40      1.99      0.07      0.00      0.00      0.00      0.00
02:11:30 AM     ens33     21.00      1.00      7.18      0.16      0.00      0.00      0.00      0.01
02:11:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:11:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:11:45 AM     ens33      0.20      0.20      0.02      0.01      0.00      0.00      0.00      0.00
02:11:50 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:11:55 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:12:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:12:05 AM     ens33      1.00      0.00      0.19      0.00      0.00      0.00      0.00      0.00
02:12:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:12:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:12:20 AM     ens33      0.40      0.40      0.04      0.03      0.00      0.00      0.00      0.00
02:12:25 AM     ens33     12.40      1.20      4.09      0.17      0.00      0.00      0.00      0.00
02:12:30 AM     ens33     15.00      0.40      5.10      0.07      0.00      0.00      0.00      0.00
02:12:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:12:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:12:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:12:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:12:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:13:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:13:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:13:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:13:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:13:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:13:25 AM     ens33     12.60      0.80      4.26      0.15      0.00      0.00      0.00      0.00
02:13:30 AM     ens33     14.57      0.60      4.90      0.08      0.00      0.00      0.00      0.00
02:13:35 AM     ens33      0.20      0.20      0.02      0.01      0.00      0.00      0.00      0.00
02:13:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:13:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:13:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:13:55 AM     ens33      0.60      0.00      0.05      0.00      0.00      0.00      0.00      0.00
02:14:00 AM     ens33      0.20      0.20      0.02      0.01      0.00      0.00      0.00      0.00
02:14:05 AM     ens33      1.00      0.00      0.19      0.00      0.00      0.00      0.00      0.00
02:14:10 AM     ens33      0.60      0.00      0.12      0.00      0.00      0.00      0.00      0.00
02:14:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:14:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:14:25 AM     ens33     13.60      1.00      4.51      0.16      0.00      0.00      0.00      0.00
02:14:30 AM     ens33     14.17      0.80      4.70      0.10      0.00      0.00      0.00      0.00
02:14:35 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:14:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:14:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:14:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:14:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:15:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:15:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:15:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:15:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:15:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:15:25 AM     ens33     13.20      0.80      4.49      0.15      0.00      0.00      0.00      0.00
02:15:30 AM     ens33     14.00      0.60      4.69      0.09      0.00      0.00      0.00      0.00
02:15:35 AM     ens33      1.00      0.80      0.16      0.08      0.00      0.00      0.00      0.00
02:15:40 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:15:45 AM     ens33   2510.80    443.00   3706.32     36.35      0.00      0.00      0.00      3.04
02:15:50 AM     ens33      1.80      1.40      1.08      0.14      0.00      0.00      0.00      0.00
02:15:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:16:00 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:16:05 AM     ens33     31.80     12.40     45.34      1.16      0.00      0.00      0.00      0.04
02:16:10 AM     ens33      0.20      0.20      0.02      0.01      0.00      0.00      0.00      0.00
02:16:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:16:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:16:25 AM     ens33    125.60     55.20    169.29      3.91      0.00      0.00      0.00      0.14
02:16:30 AM     ens33    202.80     64.00    282.85      4.59      0.00      0.00      0.00      0.23
02:16:35 AM     ens33    219.60     39.40    323.74      2.67      0.00      0.00      0.00      0.27
02:16:40 AM     ens33    182.83     35.33    269.40      2.40      0.00      0.00      0.00      0.22
02:16:45 AM     ens33      2.60      1.40      3.08      0.13      0.00      0.00      0.00      0.00
02:16:50 AM     ens33    141.60     27.80    208.61      1.83      0.00      0.00      0.00      0.17
02:16:55 AM     ens33    275.00     50.20    401.12      3.76      0.00      0.00      0.00      0.33
02:17:00 AM     ens33    305.40     55.20    446.41      3.98      0.00      0.00      0.00      0.37
02:17:05 AM     ens33    219.16     41.52    320.07      3.04      0.00      0.00      0.00      0.26
02:17:10 AM     ens33   1074.00    201.00   1587.62     12.96      0.00      0.00      0.00      1.30
02:17:15 AM     ens33   1332.80    245.80   1969.64     15.92      0.00      0.00      0.00      1.61
02:17:20 AM     ens33   1493.00    276.40   2204.28     18.38      0.00      0.00      0.00      1.81
02:17:25 AM     ens33    528.00     97.80    757.01      6.45      0.00      0.00      0.00      0.62
02:17:30 AM     ens33   1166.80    219.80   1716.97     14.32      0.00      0.00      0.00      1.41
02:17:35 AM     ens33   1073.60    201.00   1587.06     13.04      0.00      0.00      0.00      1.30
02:17:40 AM     ens33    921.56    168.46   1361.80     11.01      0.00      0.00      0.00      1.12
02:17:45 AM     ens33    625.60    115.80    924.69      7.46      0.00      0.00      0.00      0.76
02:17:50 AM     ens33    167.00     32.40    246.36      2.17      0.00      0.00      0.00      0.20
02:17:55 AM     ens33    561.88    108.78    830.01      7.06      0.00      0.00      0.00      0.68
02:18:00 AM     ens33    163.20     31.00    240.53      2.00      0.00      0.00      0.00      0.20
02:18:05 AM     ens33    291.60     53.60    429.07      3.53      0.00      0.00      0.00      0.35
02:18:10 AM     ens33    435.60     83.40    643.31      5.37      0.00      0.00      0.00      0.53
02:18:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:18:20 AM     ens33     14.60      4.20     20.76      0.27      0.00      0.00      0.00      0.02
02:18:25 AM     ens33    297.00     49.60    415.04      3.34      0.00      0.00      0.00      0.34
02:18:30 AM     ens33    299.40     55.89    430.58      3.67      0.00      0.00      0.00      0.35
02:18:35 AM     ens33    245.00     44.60    359.58      2.87      0.00      0.00      0.00      0.29
02:18:40 AM     ens33    338.60     63.00    498.42      4.15      0.00      0.00      0.00      0.41
02:18:45 AM     ens33    187.40     36.80    275.72      2.38      0.00      0.00      0.00      0.23
02:18:50 AM     ens33    551.40     89.20    812.78      5.81      0.00      0.00      0.00      0.67
02:18:55 AM     ens33    860.60    156.40   1270.47     10.08      0.00      0.00      0.00      1.04
02:19:00 AM     ens33     83.60     16.20    121.70      1.08      0.00      0.00      0.00      0.10
02:19:05 AM     ens33    711.38    135.73   1049.97      8.83      0.00      0.00      0.00      0.86
02:19:10 AM     ens33   1080.00    194.40   1593.94     12.75      0.00      0.00      0.00      1.31
02:19:15 AM     ens33    868.80    165.40   1283.44     10.81      0.00      0.00      0.00      1.05
02:19:20 AM     ens33    809.40    148.80   1195.10      9.73      0.00      0.00      0.00      0.98
02:19:25 AM     ens33     20.80      1.60      7.01      0.24      0.00      0.00      0.00      0.01
02:19:30 AM     ens33      6.60      0.00      2.18      0.00      0.00      0.00      0.00      0.00
02:19:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:19:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:19:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:19:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:19:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:20:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:20:05 AM     ens33      0.80      0.00      0.17      0.00      0.00      0.00      0.00      0.00
02:20:10 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:20:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:20:20 AM     ens33      0.20      0.20      0.02      0.01      0.00      0.00      0.00      0.00
02:20:25 AM     ens33     20.36      1.20      6.97      0.22      0.00      0.00      0.00      0.01
02:20:30 AM     ens33      6.80      0.20      2.20      0.01      0.00      0.00      0.00      0.00
02:20:35 AM     ens33      1.20      0.00      0.71      0.00      0.00      0.00      0.00      0.00
02:20:40 AM     ens33      0.60      0.00      0.30      0.00      0.00      0.00      0.00      0.00
02:20:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:20:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:20:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:21:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:21:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:21:10 AM     ens33      0.20      0.20      0.02      0.01      0.00      0.00      0.00      0.00
02:21:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:21:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:21:25 AM     ens33     20.40      1.20      6.98      0.22      0.00      0.00      0.00      0.01
02:21:30 AM     ens33      6.79      0.20      2.19      0.01      0.00      0.00      0.00      0.00
02:21:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:21:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:21:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:21:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:21:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:22:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:22:05 AM     ens33      1.00      0.00      0.19      0.00      0.00      0.00      0.00      0.00
02:22:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:22:15 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:22:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:22:25 AM     ens33     18.76      1.20      6.43      0.22      0.00      0.00      0.00      0.01
02:22:30 AM     ens33      8.40      0.20      2.74      0.01      0.00      0.00      0.00      0.00
02:22:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:22:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:22:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:22:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:22:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:23:00 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:23:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:23:10 AM     ens33      0.40      0.00      0.06      0.00      0.00      0.00      0.00      0.00
02:23:15 AM     ens33      0.40      0.00      0.06      0.00      0.00      0.00      0.00      0.00
02:23:20 AM     ens33      0.60      0.00      0.09      0.00      0.00      0.00      0.00      0.00
02:23:25 AM     ens33     22.36      5.39      7.58      1.95      0.00      0.00      0.00      0.01
02:23:30 AM     ens33      5.20      0.20      1.66      0.01      0.00      0.00      0.00      0.00
02:23:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:23:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:23:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:23:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:23:55 AM     ens33      0.20      0.00      0.01      0.00      0.00      0.00      0.00      0.00
02:24:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:05 AM     ens33      1.00      0.00      0.19      0.00      0.00      0.00      0.00      0.00
02:24:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:20 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:24:25 AM     ens33     23.55      1.20      8.05      0.22      0.00      0.00      0.00      0.01
02:24:30 AM     ens33      3.60      0.40      1.12      0.02      0.00      0.00      0.00      0.00
02:24:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:25:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:25 AM     ens33     21.96      1.20      7.51      0.22      0.00      0.00      0.00      0.01
02:25:30 AM     ens33      5.20      0.20      1.66      0.01      0.00      0.00      0.00      0.00
02:25:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:26:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:26:05 AM     ens33      1.00      0.00      0.19      0.00      0.00      0.00      0.00      0.00
02:26:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:26:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:26:20 AM     ens33      0.60      0.00      0.12      0.00      0.00      0.00      0.00      0.00
02:26:25 AM     ens33     22.16      1.20      7.52      0.22      0.00      0.00      0.00      0.01
02:26:30 AM     ens33      5.19      0.20      1.65      0.01      0.00      0.00      0.00      0.00
